key,price,total_area,living_area,kitchen_area,land,floor_number,total_floors,year,bedrooms_number,passenger_lifts_number,cargo_lifts_number,material_type,balconies_number,loggias_number,lng,lat,underground
https://www.cian.ru/sale/flat/169897365/,211840000,644.0,390.0,20.0,0,17,17,2008,,,,monolith,2,2,37.524624,55.714039,True
https://www.cian.ru/sale/flat/262182942/,270000000,236.1,,,0,3,9,2021,,,,monolith,1,,37.525621,55.718912,False
https://www.cian.ru/sale/flat/261437975/,12528350,75.7,29.8,10.4,0,3,45,2013,,4,4,monolith,,1,37.671085,55.579688,False
https://www.cian.ru/sale/flat/243583717/,140000000,192.0,,19.4,0,3,7,2011,,1,,monolith,1,1,37.601708,55.740436,True
https://www.cian.ru/sale/flat/261315603/,12416000,77.6,29.8,10.4,0,20,45,2013,,4,4,monolith,,1,37.671085,55.579688,False
https://www.cian.ru/sale/flat/263588826/,14190000,66.0,37.5,10.1,0,18,24,2013,,1,1,monolith,1,,37.671085,55.579688,False
https://www.cian.ru/sale/flat/260673148/,13008000,81.3,42.9,10.1,0,20,45,2013,,4,,monolith,,1,37.671085,55.579688,False
https://www.cian.ru/sale/flat/254990080/,189262500,198.8,,,0,2,4,2019,,,,monolith,,1,37.616863,55.768132,True
https://www.cian.ru/sale/flat/263683316/,23999000,74.0,42.0,6.0,0,2,5,,,,,brick,,,37.670842,55.726,True
https://www.cian.ru/sale/flat/263762613/,26878000,62.0,49.0,10.0,0,6,23,2018,,2,0,,0,0,37.496677,55.784719,True
https://www.cian.ru/sale/flat/263653740/,5800000,347.5,249.5,,0,5,6,2002,,1,,,2,,37.602005,55.73888,True
https://www.cian.ru/sale/suburban/237951118/,62475000,641.0,,,3100.0,,3,2020,6,,,brick,,,37.336507,55.437526,False
https://solnechnogorsk.cian.ru/sale/suburban/257795426/,49999999,402.0,,,2100.0,,1,2021,5,,,brick,,,36.818466,56.074078,False
https://odintsovo.cian.ru/sale/suburban/259915752/,160000000,550.0,,,2500.0,,2,2008,4,,,wood,,,37.24001,55.729579,False
https://odintsovo.cian.ru/sale/suburban/262226556/,185000000,2200.0,,,5000.0,,3,,8,,,,,,37.060285,55.694535,False
https://odintsovo.cian.ru/sale/suburban/246967947/,198258000,360.0,,,1400.0,,2,2020,5,,,monolith,,,37.081835,55.706426,False
https://krasnogorsk.cian.ru/sale/suburban/263584797/,54999990,300.0,,,1700.0,,2,,3,,,,,,37.315261,55.878481,False
https://odintsovo.cian.ru/sale/suburban/246577626/,1700000,1100.0,,,2500.0,,3,,5,,,,,,37.188591,55.716976,False
https://odintsovo.cian.ru/sale/suburban/261016441/,5571060,1028.0,,,3411.0,,2,,3,,,,,,37.285708,55.712812,False
https://odintsovo.cian.ru/sale/suburban/260452835/,5999990,750.0,,,3100.0,,3,,4,,,,,,37.253395,55.737801,False
